01KVH1Z6VQCAH7MZJ8CRT4XCDK	CDP-ES-03-YRXFFVCD	acevas	SERRAIMPORT	03	\N	\N	2026-06-19 23:03:02.776403+00
01KVH1Z6VZTFRYQB1B8YAQNJWP	CDP-ES-03-6Y1NZKEA	acevas	SERRAMOVIL	03	\N	\N	2026-06-19 23:03:02.784065+00
01KVH1Z6W7TTWGF4HEMZRHDNAQ	CDP-ES-30-2P5VMJNP	acevas	SKOMOVIL CENTER AUTOMOCIÓN	30	\N	\N	2026-06-19 23:03:02.791571+00
01KVH1Z6WF851JEPEPQYGNK5KY	CDP-ES-11-GMA5PZH5	acevas	SOLERA MOTOR	11	\N	\N	2026-06-19 23:03:02.799831+00
01KVH1Z6WYQ4CRRRCTFEHMCZ7T	CDP-ES-34-MMQKR120	acevas	TALLERES AUTO FFAM	34	\N	\N	2026-06-19 23:03:02.814701+00
01KVH1Z6X59N1EZ4JJ7VTHZQC5	CDP-ES-13-3ZCH9WCQ	acevas	TALLERES MANCHEGOS	13	\N	\N	2026-06-19 23:03:02.822445+00
01KVH1Z6XD7X2GB1DX20T69KW5	CDP-ES-24-TEM3T33H	acevas	TELENAUTO	24	\N	\N	2026-06-19 23:03:02.829794+00
01KVH1Z6XNHZR1S4QRGQ6664TK	CDP-ES-09-WA5902EH	acevas	URAL MOTOR	09	\N	\N	2026-06-19 23:03:02.837605+00
01KVH1Z6XX06QQVSBCNFX74XP8	CDP-ES-41-9H5B053G	acevas	UTREWAL	41	\N	\N	2026-06-19 23:03:02.845752+00
01KVH1Z6Y6SWNKFD9N33SMFARA	CDP-ES-20-8F7FR5HP	acevas	VASA	20	\N	\N	2026-06-19 23:03:02.855+00
01KVH1Z6YMW4YAVNXX4V2EC728	CDP-ES-04-8AXQVJGS	acevas	VERA IMPORT	04	\N	\N	2026-06-19 23:03:02.8692+00
01KVH1Z6YW9CRXTBNCDPJC1G04	CDP-ES-08-ZQ0F2H4H	acevas	VILAMOBIL MOTOR	08	\N	\N	2026-06-19 23:03:02.87634+00
01KVH1Z6Z33S1TBP30NAJ2ZF7M	CDP-ES-46-AT2XPGMA	acevas	VOLCENTER VALENCIA	46	\N	\N	2026-06-19 23:03:02.883821+00
01KVH1Z6ZBGD9TQ45J4ZYEGPX9	CDP-ES-02-3XCKFG7Y	acevas	WAGEN MOTORS	02	\N	\N	2026-06-19 23:03:02.891627+00
01KVH1Z6ZHCQYAPBNNWDG4SP5X	CDP-ES-15-0XP18DET	acevas	YAÑEZ	15	\N	\N	2026-06-19 23:03:02.898424+00
01KVH1Z6ZS7QR1TEW5NCYSVVNF	CDP-ES-50-1E805PAV	acevas	ZARATECNO	50	\N	\N	2026-06-19 23:03:02.905502+00
01KVH1ZAH8MEBHP39JX3ZKZ4M4	CDP-ES-08-TJQD5VH3	aecs	AUTOCOMERCIAL MAAM, S.L.	08	\N	https://www.dimoauto.com	2026-06-19 23:03:06.537436+00
01KVH1ZAECAFM46F8NV7WYE6P1	CDP-ES-50-ZP5B4ZRR	aecs	ARAGONESA DE AUTOMOVILES (ZARAGOZA)	50	\N	https://www.aramovil.es	2026-06-19 23:03:06.445936+00
01KVH1ZAEX3BY71SEE1MYPCPGZ	CDP-ES-29-YZ22V06W	aecs	AUSOL 2009. S.L.	29	\N	https://www.peugeot-ausol.es	2026-06-19 23:03:06.462357+00
01KVH1ZAFCX068J091GJNYMET8	CDP-ES-39-V2T85QVZ	aecs	AUTO PALAS, S.A.	39	\N	https://www.autopalas.com	2026-06-19 23:03:06.477862+00
01KVH1ZAM06AQPH1H3Y8FXMPHK	CDP-ES-14-JTHSNW6J	aecs	AUTOMOBILITY CORDOBA Y SERVICIOS	14	\N	https://redoficial.opel.es/automobility-cordoba/	2026-06-19 23:03:06.625466+00
01KVH1ZAMCF2TKHZD8TZR52YPB	CDP-ES-05-G8EP9SBT	aecs	AUTOMOVILES CERVERA, S.A.	05	\N	https://www.grupocervera.com	2026-06-19 23:03:06.638385+00
01KVH1ZAN6Y4SKJ5V10KSC272E	CDP-ES-46-P8Y5F7V6	aecs	AUTOMOVILES JUAN GINER,S.A.	46	\N	https://www.juanginer.es	2026-06-19 23:03:06.662875+00
01KVH1ZAQD4QS5VVWNQ8X5MD5F	CDP-ES-08-TZ7VSCBV	aecs	AUTOMOVILES VICAUTO, S.A.	08	\N	https://redcomercial.peugeot.es/vicauto/	2026-06-19 23:03:06.735265+00
01KVH1ZAQRHGC4BAPWZ2SG6PVK	CDP-ES-30-RBCJHME1	aecs	AUTOS MARCOS (MURCIA)	30	\N	https://www.marcosautomocion.es	2026-06-19 23:03:06.745596+00
01KVH1ZAR26XVYFTQH1C3V8MNB	CDP-ES-03-RBCJHME1	aecs	AUTOS MARCOS, S.A. (ORLANDO)	03	\N	https://www.marcosautomocion.es	2026-06-19 23:03:06.755934+00
01KVH1ZART8AGE6NRD5F4P8SJT	CDP-ES-03-E2QGWV4G	aecs	BORJAMOTOR, S.A.	03	\N	https://opelborjamotor.com	2026-06-19 23:03:06.779027+00
